epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.25751,0.76371,3.42418,2.8987,1.2695,0.53476,0.47541,0.43509,0.29832,0.48554,0.44876,0.3998,0.17213,1.17318,4.27147,29.6449,1.70732,0.0003,0.0003,0.0003
2,11.3553,0.58879,1.23575,1.25013,1.11215,0.46629,0.27869,0.28858,0.18155,0.41779,0.2459,0.23268,0.15231,2.0582,13.3733,5.24023,2.25014,0.000613862,0.000613862,0.000613862
3,17.0065,0.69238,1.26518,1.07228,1.19205,0.41474,0.60656,0.39509,0.16361,0.3662,0.36066,0.22077,0.06478,2.01965,10.8901,3.08358,2.47424,0.000921388,0.000921388,0.000921388
4,22.9912,0.78134,1.36591,1.09477,1.25597,0.09818,0.4918,0.08402,0.02205,0.10091,0.5082,0.09153,0.02811,2.42442,7.35846,16.8427,3.10103,0.00122258,0.00122258,0.00122258
5,29.0646,0.75295,1.18595,1.03169,1.24545,0.33333,0.63934,0.38203,0.14136,0.28205,0.54098,0.28517,0.08145,1.78297,13.2038,20.552,3.67628,0.00151743,0.00151743,0.00151743
6,34.345,0.79257,1.38431,1.07828,1.25925,0.14575,0.42623,0.09077,0.02781,0.03391,0.11475,0.0095,0.00371,2.54669,32.0711,20.4777,3.28639,0.00180595,0.00180595,0.00180595
7,39.2374,0.88575,1.6146,0.98704,1.32967,0.19569,0.52649,0.18149,0.07398,0.15482,0.22951,0.07399,0.02604,2.18811,15.0447,6.23378,2.6869,0.0018812,0.0018812,0.0018812
8,44.1861,0.76586,1.20188,0.94561,1.22709,0.25822,0.40984,0.20107,0.04788,0.2169,0.34426,0.14334,0.03082,2.60376,9.39269,8.58957,3.50086,0.0018614,0.0018614,0.0018614
9,49.0366,0.78332,1.22112,0.96987,1.28783,0.3743,0.39344,0.22911,0.06748,0.35398,0.37705,0.20364,0.05912,2.38726,4.9106,6.60015,2.75935,0.0018416,0.0018416,0.0018416
10,53.9034,0.77461,1.48429,0.89148,1.22719,0.54661,0.57377,0.53185,0.22852,0.45159,0.54098,0.36338,0.14781,1.41817,4.6606,3.6206,1.88995,0.0018218,0.0018218,0.0018218
11,58.7523,0.68217,1.27208,0.76507,1.18273,0.56413,0.65574,0.61893,0.34056,0.51999,0.51507,0.4945,0.19206,1.41343,6.54872,1.91093,2.01847,0.001802,0.001802,0.001802
12,63.6482,0.74992,1.24599,0.8685,1.20735,0.45561,0.5082,0.47571,0.25267,0.3152,0.38488,0.25033,0.10666,1.7136,4.03055,2.0212,2.15331,0.0017822,0.0017822,0.0017822
13,68.4953,0.72135,1.19798,0.91615,1.20384,0.50462,0.50104,0.42706,0.19356,0.34422,0.34426,0.20482,0.08554,1.92582,7.74303,2.06106,2.27259,0.0017624,0.0017624,0.0017624
14,73.3636,0.64045,1.11599,0.75946,1.13442,0.67791,0.63934,0.68378,0.43066,0.52623,0.4918,0.38886,0.20496,1.18246,6.20367,1.40902,1.52125,0.0017426,0.0017426,0.0017426
15,78.3128,0.70066,1.04904,0.86716,1.1856,0.62023,0.68852,0.61966,0.4078,0.70507,0.62295,0.61041,0.34199,1.23512,3.50167,1.7687,1.60839,0.0017228,0.0017228,0.0017228
16,83.2448,0.63977,1.11852,0.75185,1.16397,0.54812,0.67613,0.57648,0.39009,0.61302,0.55738,0.53124,0.31711,1.27601,3.70085,1.96545,1.56503,0.001703,0.001703,0.001703
17,88.1114,0.59663,1.08237,0.67135,1.10745,0.7182,0.71032,0.70429,0.54258,0.77038,0.67213,0.69934,0.46596,0.94796,2.4313,1.37069,1.25072,0.0016832,0.0016832,0.0016832
18,93.0055,0.57786,1.0417,0.68563,1.10452,0.71845,0.77049,0.7546,0.53236,0.70294,0.7541,0.72477,0.50881,0.9628,1.87676,1.28994,1.27192,0.0016634,0.0016634,0.0016634
19,97.891,0.5677,1.04285,0.70039,1.10062,0.73381,0.7377,0.73599,0.56095,0.73381,0.7377,0.73549,0.54804,0.9069,1.64349,1.27275,1.31193,0.0016436,0.0016436,0.0016436
20,102.787,0.5574,0.95174,0.68926,1.06961,0.81486,0.72151,0.82292,0.62002,0.80479,0.68852,0.79428,0.57701,0.84851,1.77492,1.28346,1.27816,0.0016238,0.0016238,0.0016238
